x y
0.0 2.0
0.204 -2.796
0.408 2.408
0.612 -1.388
0.816 -4.184
1.02 1.02
1.224 -0.776
1.429 -0.571
1.633 5.633
1.837 -1.163
2.041 6.041
2.245 0.245
2.449 5.449
2.653 2.653
2.857 4.857
3.061 7.061
3.265 0.265
3.469 -0.531
3.673 3.673
3.878 -0.122
4.082 3.082
4.286 7.286
4.49 -0.51
4.694 0.694
4.898 6.898
5.102 3.102
5.306 7.306
5.51 2.51
5.714 6.714
5.918 4.918
6.122 6.122
6.327 8.327
6.531 4.531
6.735 9.735
6.939 2.939
7.143 9.143
7.347 7.347
7.551 10.551
7.755 5.755
7.959 7.959
8.163 7.163
8.367 3.367
8.571 12.571
8.776 9.776
8.98 3.98
9.184 6.184
9.388 4.388
9.592 10.592
9.796 6.796
10.0 11.0
